Title,Genre,Country,Date_Added,Rating,Language
Breaking News,Comedy,Canada,7/4/2020,7.2,German
Midnight Dreams,Romance,india,25-05-2023,8.7,hindi
The Last Voyage,Romance,germany,9/15/2021,1.3,English
Skyline,Drama,canada,28-01-2024,10,Spanish
Echoes,DOCUMENTARY,Australia,3/10/2020,4,french
Deep Waters,Romance,Germany,27-02-2025,1.7,Hindi
Quantum Leap,Drama,UK,8/13/2023,1.2,MANDARIN
House of Shadows,Sci-Fi,Canada,17-07-2025,4.7,spanish
Lunar Mission,Documentary,Canada,3/23/2021,6.4,german
Code of Silence,drama,India,1/1/2021,3.9,Spanish
Retroverse,Comedy,Canada,1/9/2024,8.6,FRENCH
The Forgotten,comedy,USA,1/12/2023,4.9,English
Mystic Falls,Drama,India,6/4/2025,3.3,english
Digital Love,Romance,Canada,6/1/2022,7.6,ENGLISH
Final Frame,Action,Canada,9/3/2025,5.6,Hindi
Burning Skies,Action,India,2/5/2024,8.6,mandarin
The Drift,documentary,australia,12/18/2020,2.1,mandarin
Neon City,Documentary,Australia,4/5/2024,7.6,HINDI
Outcast,action,uk,11/17/2023,8.7,mandarin
The Arrival,Comedy,Canada,5/17/2020,7.2,Hindi
Winds of Change,Drama,USA,10/5/2023,,French
Behind the Mask,sci-fi,USA,26-10-2024,8.8,French
Iron Veins,action,INDIA,5/29/2023,5.6,French
Echo Chamber,drama,france,5/14/2025,2.5,German
Sunset Files,Romance,India,15-12-2021,1.9,Hindi
Deep Waters,Romance,Germany,27-02-2025,1.7,Hindi
Retroverse,Comedy,Canada,1/9/2024,8.6,FRENCH
